P1_001N,P13_001N,P11_001N,P11_002N,P11_005N,P11_006N,P11_008N,geo_id
60,29.5,48,0,2,43,0,421010253005004
70,32.3,47,3,3,40,0,421010253005005
88,47.5,67,0,11,49,0,421010253005006
85,31.1,65,0,0,57,4,421010254001000
75,48.8,63,0,8,52,0,421010254001001
89,55.5,83,1,4,68,2,421010254001002
114,53.0,91,3,0,83,4,421010254001003
102,40.8,84,0,0,79,0,421010254001004
110,45.0,89,2,3,81,0,421010254001005
91,58.4,77,4,0,67,4,421010254001006
78,37.0,58,1,2,50,1,421010254001007
116,45.2,91,1,5,81,1,421010254002000
180,52.0,152,2,4,143,1,421010254002001
55,54.5,46,0,4,39,0,421010254002002
103,40.2,83,2,8,73,0,421010254002003
140,42.2,117,9,11,94,0,421010254002004
139,32.6,114,0,31,82,0,421010254002005
118,37.3,102,14,1,55,21,421010272003001
28,29.5,15,8,0,5,2,421010272002005
832,31.5,634,75,20,506,11,421010272002006
205,48.8,165,8,24,107,21,421010272003000
348,38.3,256,45,20,136,54,421010272003002
206,46.5,174,7,13,127,18,421010272003003
214,45.7,178,5,8,147,16,421010272003004
71,40.1,59,3,3,44,4,421010272003005
279,35.6,207,12,11,162,11,421010272003006
90,38.5,74,3,0,42,27,421010272003007
75,32.5,52,9,1,26,14,421010273001000
206,45.1,166,31,11,77,44,421010273001001
167,40.1,121,21,0,49,48,421010273001002
108,43.3,89,24,6,44,15,421010273001003
177,37.9,140,37,0,91,11,421010273001004
163,37.1,121,11,8,71,27,421010273001006
197,29.8,140,11,12,83,33,421010273002000
139,42.5,113,9,15,73,13,421010273002001
116,32.3,94,18,1,44,25,421010273002002
236,24.5,159,29,9,84,32,421010273002003
143,44.6,112,16,3,75,11,421010273002004
159,34.8,118,29,6,69,14,421010273002005
219,37.7,174,49,0,81,32,421010273002006
228,28.3,134,31,7,75,19,421010273002007
185,38.6,135,22,3,78,24,421010273002008
166,35.2,126,13,0,49,63,421010273003000
170,40.8,133,19,6,63,45,421010273003001
203,29.8,138,24,11,81,16,421010273003002
177,41.8,138,19,12,68,28,421010273003003
193,27.1,145,49,1,53,40,421010273003004
204,41.0,155,34,1,61,55,421010273003005
175,50.3,152,35,7,39,71,421010273003006
266,36.2,211,51,14,79,56,421010273003007
160,31.5,126,37,3,45,37,421010273003008
400,36.6,296,161,20,93,16,421010292001017
168,32.2,134,78,4,23,23,421010292001014
241,30.3,170,70,21,51,24,421010292001015
167,26.5,115,58,6,45,3,421010292001016
25,21.4,14,6,3,3,2,421010292001018
140,33.9,108,54,9,38,3,421010292001020
239,29.8,188,106,8,42,27,421010292001021
141,34.3,101,64,0,28,7,421010292001022
22,26.0,12,5,0,7,0,421010292002000
639,29.7,468,259,33,114,45,421010292002010
26,45.5,20,12,0,5,2,421010292002011
59,42.3,45,16,13,15,1,421010292002014
18,35.0,17,3,0,14,0,421010292002020
88,32.7,64,17,20,18,9,421010292002021
78,42.0,77,19,20,30,0,421010292002022
129,36.3,97,22,37,38,0,421010292002023
129,42.5,104,42,22,27,6,421010292002024
86,26.8,59,9,21,29,0,421010292002025
87,52.5,73,9,19,40,4,421010305023006
122,32.8,82,16,13,47,6,421010305023003
91,40.5,79,19,11,45,1,421010305023004
100,24.0,61,21,12,28,0,421010305023005
146,37.4,111,18,22,64,5,421010305023007
170,39.0,120,29,27,48,11,421010305023008
165,20.5,94,18,0,64,7,421010305024000
121,30.5,88,22,1,57,3,421010305024001
124,24.3,77,24,2,46,3,421010305024002
191,40.8,142,28,14,53,43,421010305024003
147,30.5,105,16,0,77,7,421010305024004
63,30.8,37,11,9,13,0,421010305024005
136,29.0,107,30,23,43,6,421010305024006
106,41.0,77,20,12,20,22,421010305024007
215,36.1,165,39,9,107,7,421010305024008
175,29.0,125,27,13,73,7,421010305024009
71,46.4,55,9,13,28,5,421010305024010
78,48.0,61,16,8,22,8,421010305025000
99,27.5,81,16,28,36,0,421010305025001
76,35.4,64,10,13,20,9,421010305025002
84,28.0,61,27,3,23,7,421010305025003
106,27.3,65,24,17,16,8,421010305025004
92,42.0,67,14,19,22,11,421010305025005
81,36.6,53,14,0,29,10,421010305025006
127,39.9,97,22,29,41,1,421010305025008
79,40.5,64,11,14,37,0,421010306001000
134,38.0,106,20,31,53,0,421010306001001
79,41.8,66,23,8,34,0,421010306001002
89,48.0,83,21,28,16,16,421010306001003
113,34.5,86,22,8,47,0,421010306001004
131,37.9,104,25,17,52,8,421010306001005
23,57.5,21,6,10,3,0,421010306001006
214,32.0,157,44,39,61,10,421010306001007
154,34.5,125,33,27,62,0,421010306001008
16,44.5,11,5,0,0,2,421010318001004
219,34.6,156,43,38,47,20,421010318001008
285,27.6,191,82,50,37,10,421010318001009
87,33.4,51,23,6,22,0,421010318001010
20,26.7,12,4,0,8,0,421010318001013
256,34.9,185,50,40,80,14,421010318001015
64,28.5,46,14,13,11,6,421010318001016
190,41.0,145,33,22,63,24,421010318001017
76,39.0,57,4,6,39,8,421010318001019
128,36.0,101,51,20,14,16,421010318001021
77,42.3,75,35,21,8,3,421010318001022
77,45.9,60,18,22,14,0,421010318002000
58,36.0,54,29,10,9,5,421010318002001
104,37.0,88,36,14,22,6,421010318002002
85,36.6,68,24,15,24,5,421010318002003
161,42.9,111,42,11,51,5,421010318002004
169,38.7,140,59,22,45,14,421010318002005
43,35.1,29,16,5,8,0,421010318002006
30,30.5,23,4,2,16,0,421010318002007
40,26.0,23,5,6,11,0,421010318002008
111,32.8,85,29,24,32,0,421010318002009
105,38.5,75,29,5,37,0,421010318002010
113,32.6,87,22,28,23,6,421010318002011
74,31.0,51,13,14,21,0,421010318003000
3,9.5,0,0,0,0,0,421019800021048
5,61.5,4,2,0,0,2,421019800021050
2,37.0,2,2,0,0,0,421019805001010
2,5.5,0,0,0,0,0,421019806001005
88,31.9,85,3,64,5,11,421010014001016
78,28.3,59,1,42,11,3,421010014001017
136,31.4,113,1,91,6,12,421010014002001
145,35.2,127,5,94,20,3,421010014002002
138,31.0,126,4,98,12,7,421010014002003
117,32.5,96,7,71,5,1,421010014002004
57,35.5,54,4,43,2,4,421010014002005
87,28.3,63,4,49,6,3,421010014002006
101,34.2,83,0,48,21,10,421010014003000
78,32.0,72,4,45,8,10,421010014003001
120,35.2,108,3,91,6,5,421010014003002
124,27.7,95,2,84,2,2,421010014003004
127,27.4,101,6,78,10,4,421010014003005
137,37.3,119,3,79,24,8,421010014003006
34,23.3,22,3,11,2,2,421010014003007
114,31.9,94,0,65,19,7,421010014003008
84,34.2,82,6,49,23,2,421010014003009
48,46.0,45,2,24,9,10,421010014003010
169,29.8,146,4,105,12,16,421010014002000
56,42.3,44,1,28,0,8,421010014001015
226,50.2,222,10,77,125,9,421010014003011
60,31.0,45,4,25,7,0,421010014003012
99,29.5,80,2,51,12,14,421010014003013
54,37.0,48,1,29,5,8,421010014003014
119,29.7,105,10,75,7,13,421010014003015
91,37.4,82,3,57,8,11,421010014003016
156,33.5,143,7,95,26,9,421010014003017
185,41.6,174,8,68,87,5,421010014003018
65,62.5,57,3,28,15,9,421010014003019
111,32.8,100,5,77,13,4,421010014003020
76,35.2,74,4,48,7,4,421010014003021
6,69.5,6,0,2,4,0,421010014003022
59,41.8,53,3,37,6,6,421010015001000
78,28.4,66,3,61,0,1,421010015001001
185,28.0,131,5,3,117,3,421010083012003
137,43.4,109,1,0,103,2,421010083012000
617,72.5,604,15,186,358,26,421010083012001
168,40.3,119,0,0,118,0,421010083012002
39,44.1,30,0,0,25,3,421010083012004
109,32.1,85,4,4,71,0,421010083012005
104,48.0,89,0,0,86,0,421010083012006
82,43.5,55,7,0,46,2,421010083012007
49,63.8,42,3,0,34,0,421010083012008
90,52.5,66,0,0,59,0,421010083012009
119,31.2,89,1,0,79,0,421010083012010
98,30.5,75,0,0,63,7,421010083012011
189,32.6,129,1,5,110,8,421010083013000
169,29.8,115,0,0,110,3,421010083013001
117,33.5,91,4,5,78,0,421010083013003
117,39.1,86,4,0,69,5,421010083013004
135,29.4,103,1,0,98,0,421010083013005
131,46.5,101,4,0,94,1,421010083013006
134,35.0,109,1,0,103,1,421010083013007
82,56.3,68,1,0,66,0,421010083013008
55,51.6,40,0,0,40,0,421010083013009
71,32.5,54,2,5,46,0,421010083013010
37,26.6,29,0,3,26,0,421010083013011
160,36.7,120,14,0,102,0,421010083021000
132,28.4,102,4,3,89,3,421010083021001
162,33.9,114,10,3,97,3,421010083021002
67,40.3,44,0,0,41,3,421010083021003
122,36.8,94,4,0,86,0,421010083021004
64,39.0,47,0,1,45,0,421010083021006
141,40.5,112,2,0,107,0,421010083021007
135,31.8,92,4,0,85,2,421010083021008
73,29.8,54,2,0,46,0,421010083022000
51,31.5,29,4,0,25,0,421010083022001
35,31.5,32,4,0,24,0,421010152001026
26,23.0,16,0,0,10,0,421010152001023
6,30.0,5,1,0,0,1,421010152001024
69,35.5,49,3,5,39,0,421010152001025
50,38.0,46,2,6,38,0,421010152001027
142,33.7,103,5,0,92,2,421010152001028
44,27.0,31,0,4,27,0,421010152001029
48,22.5,34,3,3,27,0,421010152001030
120,33.0,88,3,0,77,6,421010152002000
53,34.5,35,2,1,30,0,421010152002001
62,23.0,44,3,0,40,0,421010152002002
170,29.0,112,2,11,99,0,421010152002003
58,35.8,39,0,1,37,0,421010152002004
67,25.8,49,6,0,43,0,421010152002005
40,46.6,27,5,0,20,0,421010152002006
129,31.0,99,4,6,85,0,421010152002007
74,28.5,48,1,2,40,1,421010152002008
64,58.5,58,0,5,44,3,421010152002009
33,35.5,26,3,0,21,0,421010152002010
30,34.0,26,0,1,17,0,421010152002011
36,52.0,20,3,4,12,0,421010152002012
85,41.3,63,0,0,62,0,421010152002013
109,35.8,80,5,1,66,0,421010152002014
131,21.8,74,5,0,69,0,421010152002015
54,49.0,44,2,3,37,0,421010152002016
220,22.5,121,5,2,106,2,421010152003005
611,19.6,331,16,0,303,0,421010152003006
101,30.4,57,0,1,53,0,421010152003007
94,33.4,60,1,0,57,0,421010152003008
84,21.3,45,1,0,41,0,421010152003009
101,47.3,92,9,13,67,0,421010203002002
204,39.1,149,22,0,118,0,421010203002003
66,34.5,57,3,2,45,4,421010203002004
71,34.5,53,12,0,38,0,421010203002007
46,29.0,40,5,0,32,0,421010203002009
101,30.8,70,3,0,67,0,421010203002010
163,38.9,129,9,0,114,0,421010203002011
30,33.3,23,7,0,13,1,421010203002012
25,26.2,17,5,0,10,0,421010203002013
160,43.0,126,12,0,110,2,421010203002014
80,31.0,61,31,2,28,0,421010203002015
82,41.5,64,1,6,56,0,421010203002016
65,40.8,52,11,0,39,0,421010203002017
9,18.5,5,3,0,2,0,421010203002018
25,29.3,23,1,4,17,1,421010203002019
11,30.5,7,1,0,4,0,421010203002020
30,35.5,23,2,0,20,0,421010203002021
31,53.8,26,6,0,20,0,421010203002023
77,34.3,52,6,0,44,0,421010203002024
134,46.5,107,0,0,99,2,421010204001000
100,26.7,61,1,0,60,0,421010204001001
102,37.8,80,0,3,75,0,421010204001002
117,28.3,82,1,0,81,0,421010204001003
140,31.5,94,7,3,82,0,421010204001004
13,39.9,12,0,0,10,0,421010204001005
52,53.5,40,5,0,31,0,421010204001009
48,36.5,32,10,2,19,0,421010204002000
113,36.2,94,1,0,91,0,421010264001013
125,42.6,100,0,2,97,0,421010264001010
145,39.3,117,0,0,108,0,421010264001011
145,51.3,120,7,5,102,0,421010264001012
154,31.5,114,0,0,113,1,421010264001014
150,47.6,122,1,0,112,0,421010264001015
75,49.3,69,3,0,61,0,421010264002000
112,58.0,93,0,0,82,0,421010264002002
189,41.8,150,3,7,129,0,421010264002003
79,30.3,61,2,0,59,0,421010264002004
133,49.1,106,1,0,103,0,421010264002005
160,55.0,139,0,0,134,0,421010264002006
150,41.0,117,2,1,110,4,421010264002007
50,27.2,34,0,0,34,0,421010264002008
100,59.3,78,3,3,70,0,421010264002009
181,40.1,142,1,1,136,0,421010264002010
41,45.1,35,0,0,34,0,421010264002011
133,48.3,117,5,0,109,0,421010264003000
116,38.0,100,0,0,97,0,421010264003001
120,35.6,99,0,0,99,0,421010264003002
131,43.6,98,1,0,97,0,421010264003003
114,47.2,101,0,5,91,0,421010264003004
118,34.5,84,2,0,76,0,421010264003005
123,50.7,93,1,3,89,0,421010264003006
101,49.5,91,0,3,88,0,421010264003008
89,55.5,73,0,0,71,0,421010264003009
34,55.8,24,0,0,23,0,421010264003010
31,56.1,28,2,0,24,0,421010264003011
36,44.4,36,1,0,35,0,421010264003012
56,50.5,51,3,0,47,0,421010264003013
46,47.0,38,0,0,37,0,421010264003014
53,52.3,39,1,0,34,0,421010264003015
69,48.7,58,1,0,57,0,421010264003016
207,28.5,139,41,0,84,11,421010305013002
160,40.8,115,35,20,46,14,421010305012010
219,26.3,154,39,8,93,7,421010305013000
228,25.8,143,35,20,82,5,421010305013001
180,37.4,119,25,21,62,8,421010305013003
260,31.3,193,48,7,107,14,421010305013004
243,26.6,152,32,11,99,6,421010305013005
198,31.4,138,51,2,83,0,421010305013006
231,25.7,158,52,0,82,19,421010305013007
